county,state,Lat,Long_,Confirmed,Deaths
Los Angeles,California,34.30828379,-118.2282411,236986,5701
New York City,New York,40.7672726,-73.97152637,233140,23674
Miami-Dade,Florida,25.6112362,-80.55170587,154757,2346
Maricopa,Arizona,33.34835867,-112.4918154,132704,2896
Cook,Illinois,41.84144849,-87.81658794,123691,5039
Harris,Texas,29.85864939,-95.39339521,101670,2140
Broward,Florida,26.15184651,-80.48725556,70147,1169
Dallas,Texas,32.76670599,-96.7779605,69881,926
Clark,Nevada,36.21458855,-115.0130241,57756,1099
Riverside,California,33.74314981,-115.9933578,51734,997
Orange,California,33.70147516,-117.7645998,47459,947
San Bernardino,California,34.84060306,-116.1774685,46407,715
Bexar,Texas,29.44928723,-98.52019748,45811,1046
Suffolk,New York,40.88320119,-72.8012172,44641,2001
Nassau,New York,40.74066522,-73.58941873,44450,2196
Palm Beach,Florida,26.64676272,-80.46536002,41195,1094
Tarrant,Texas,32.77143818,-97.29101614,38451,590
San Diego,California,33.03484597,-116.7365326,37499,673
Westchester,New York,41.16278376,-73.75741653,36825,1449
Hillsborough,Florida,27.9276559,-82.32013172,36354,540
Orange,Florida,28.51367621,-81.31799498,35245,369
Philadelphia,Pennsylvania,40.00338507,-75.1379271,33343,1749
Wayne,Michigan,42.28098405,-83.281255,30820,2872
Kern,California,35.34329425,-118.7277796,28612,251
Hidalgo,Texas,26.39418217,-98.18299696,27077,1145
Shelby,Tennessee,35.1864775,-89.89692423,26504,377
Travis,Texas,30.33432034,-97.7853562,26239,374
Duval,Florida,30.33225875,-81.66976468,26017,249
Prince George's,Maryland,38.83070039,-76.8496441,25817,785
Middlesex,Massachusetts,42.48607732,-71.39049229,25019,2062
Mecklenburg,North Carolina,35.24469268,-80.8317671,24744,284
Fulton,Georgia,33.79216944,-84.46319413,24378,498
Fresno,California,36.75733899,-119.6466953,24071,239
Gwinnett,Georgia,33.96044201,-84.02137802,23812,322
Milwaukee,Wisconsin,43.00486062,-87.96733172,23676,485
Salt Lake,Utah,40.66616532,-111.9216011,23355,229
Davidson,Tennessee,36.17007426,-86.78646056,23181,251
Hennepin,Minnesota,45.00761521,-93.47694895,22305,877
Suffolk,Massachusetts,42.3279514,-71.07850442,22036,1105
Bergen,New Jersey,40.96010917,-74.07164325,21454,2031
Franklin,Ohio,39.96995815,-83.01115755,21133,556
Pima,Arizona,32.0971334,-111.7890033,21001,567
Cameron,Texas,26.14524221,-97.48140372,20739,712
Essex,New Jersey,40.78681335,-74.24657979,20219,2110
Hudson,New Jersey,40.73766234,-74.07515667,20088,1506
El Paso,Texas,31.76980765,-106.2363275,19925,410
Montgomery,Maryland,39.13676329,-77.20358245,19733,818
Pinellas,Florida,27.93130349,-82.72239666,19681,641
King,Washington,47.49137892,-121.8346131,19155,722
Fairfield,Connecticut,41.26809896,-73.3881171,18721,1413
Nueces,Texas,27.736286,-97.5433285,18536,339
St. Louis,Missouri,38.6377004,-90.4458375,18507,726
Middlesex,New Jersey,40.43629879,-74.41426991,18361,1417
Lee,Florida,26.58410348,-81.88399313,18332,414
Passaic,New Jersey,41.03238628,-74.29954144,18249,1245
Marion,Indiana,39.78163624,-86.13826325,17976,746
Fairfax,Virginia,38.83677558,-77.27565836,17959,549
Essex,Massachusetts,42.6687626,-70.94687179,17824,1228
